year,level,course,sex,enrolment_preu
1980,Junior College 1,Arts,MF,1158
1980,Junior College 1,Arts,F,903
1980,Junior College 1,Commerce,MF,1210
1980,Junior College 1,Commerce,F,995
1980,Junior College 1,Science,MF,3301
1980,Junior College 1,Science,F,1355
1980,Junior College 2,Arts,MF,1167
1980,Junior College 2,Arts,F,889
1980,Junior College 2,Commerce,MF,852
1980,Junior College 2,Commerce,F,724
1980,Junior College 2,Science,MF,3225
1980,Junior College 2,Science,F,1458
1980,Pre-University 1,Arts,MF,754
1980,Pre-University 1,Arts,F,521
1980,Pre-University 1,Commerce,MF,1384
1980,Pre-University 1,Commerce,F,1006
1980,Pre-University 1,Science,MF,773
1980,Pre-University 1,Science,F,270
1980,Pre-University 2,Arts,MF,1038
1980,Pre-University 2,Arts,F,695
1980,Pre-University 2,Commerce,MF,683
1980,Pre-University 2,Commerce,F,496
1980,Pre-University 2,Science,MF,727
1980,Pre-University 2,Science,F,306
1980,Pre-University 3,Arts,MF,-
1980,Pre-University 3,Arts,F,-
1980,Pre-University 3,Commerce,MF,-
1980,Pre-University 3,Commerce,F,-
1980,Pre-University 3,Science,MF,-
1980,Pre-University 3,Science,F,-
1981,Junior College 1,Arts,MF,777
1981,Junior College 1,Arts,F,576
1981,Junior College 1,Commerce,MF,1418
1981,Junior College 1,Commerce,F,1138
1981,Junior College 1,Science,MF,3128
1981,Junior College 1,Science,F,1235
1981,Junior College 2,Arts,MF,1156
1981,Junior College 2,Arts,F,908
1981,Junior College 2,Commerce,MF,1204
1981,Junior College 2,Commerce,F,986
1981,Junior College 2,Science,MF,3044
1981,Junior College 2,Science,F,1320
1981,Pre-University 1,Arts,MF,502
1981,Pre-University 1,Arts,F,348
1981,Pre-University 1,Commerce,MF,1301
1981,Pre-University 1,Commerce,F,913
1981,Pre-University 1,Science,MF,908
1981,Pre-University 1,Science,F,274
1981,Pre-University 2,Arts,MF,733
1981,Pre-University 2,Arts,F,505
1981,Pre-University 2,Commerce,MF,1200
1981,Pre-University 2,Commerce,F,874
1981,Pre-University 2,Science,MF,965
1981,Pre-University 2,Science,F,314
1981,Pre-University 3,Arts,MF,839
1981,Pre-University 3,Arts,F,581
1981,Pre-University 3,Commerce,MF,545
1981,Pre-University 3,Commerce,F,409
1981,Pre-University 3,Science,MF,433
1981,Pre-University 3,Science,F,207
1982,Junior College 1,Arts,MF,938
1982,Junior College 1,Arts,F,638
1982,Junior College 1,Commerce,MF,1452
1982,Junior College 1,Commerce,F,1101
1982,Junior College 1,Science,MF,3319
1982,Junior College 1,Science,F,1211
1982,Junior College 2,Arts,MF,930
1982,Junior College 2,Arts,F,681
1982,Junior College 2,Commerce,MF,1498
1982,Junior College 2,Commerce,F,1193
1982,Junior College 2,Science,MF,3621
1982,Junior College 2,Science,F,1392
1982,Pre-University 1,Arts,MF,532
1982,Pre-University 1,Arts,F,362
1982,Pre-University 1,Commerce,MF,1147
1982,Pre-University 1,Commerce,F,769
1982,Pre-University 1,Science,MF,531
1982,Pre-University 1,Science,F,192
1982,Pre-University 2,Arts,MF,379
1982,Pre-University 2,Arts,F,255
1982,Pre-University 2,Commerce,MF,1260
1982,Pre-University 2,Commerce,F,878
1982,Pre-University 2,Science,MF,502
1982,Pre-University 2,Science,F,156
1982,Pre-University 3,Arts,MF,674
1982,Pre-University 3,Arts,F,442
1982,Pre-University 3,Commerce,MF,1159
1982,Pre-University 3,Commerce,F,832
1982,Pre-University 3,Science,MF,697
1982,Pre-University 3,Science,F,253
1983,Junior College 1,Arts,MF,1276
1983,Junior College 1,Arts,F,917
1983,Junior College 1,Commerce,MF,1326
1983,Junior College 1,Commerce,F,1010
1983,Junior College 1,Science,MF,3908
1983,Junior College 1,Science,F,1622
1983,Junior College 2,Arts,MF,1013
1983,Junior College 2,Arts,F,697
1983,Junior College 2,Commerce,MF,1426
1983,Junior College 2,Commerce,F,1095
1983,Junior College 2,Science,MF,3421
1983,Junior College 2,Science,F,1241
1983,Pre-University 1,Arts,MF,843
1983,Pre-University 1,Arts,F,550
1983,Pre-University 1,Commerce,MF,1175
1983,Pre-University 1,Commerce,F,794
1983,Pre-University 1,Science,MF,770
1983,Pre-University 1,Science,F,323
1983,Pre-University 2,Arts,MF,471
1983,Pre-University 2,Arts,F,320
1983,Pre-University 2,Commerce,MF,980
1983,Pre-University 2,Commerce,F,651
1983,Pre-University 2,Science,MF,401
1983,Pre-University 2,Science,F,154
1983,Pre-University 3,Arts,MF,433
1983,Pre-University 3,Arts,F,280
1983,Pre-University 3,Commerce,MF,1244
1983,Pre-University 3,Commerce,F,853
1983,Pre-University 3,Science,MF,518
1983,Pre-University 3,Science,F,164
1984,Junior College 1,Arts,MF,1412
1984,Junior College 1,Arts,F,1006
