year,level,course,sex,enrolment_secondary
1980,Secondary 1,Express,MF,45489
1980,Secondary 1,Express,F,22509
1980,Secondary 1,Normal (Acad),MF,0
1980,Secondary 1,Normal (Acad),F,0
1980,Secondary 1,Normal (Tech),MF,0
1980,Secondary 1,Normal (Tech),F,0
1980,Secondary 1,Special,MF,1511
1980,Secondary 1,Special,F,800
1980,Secondary 2,Express,MF,39068
1980,Secondary 2,Express,F,19765
1980,Secondary 2,Normal (Acad),MF,0
1980,Secondary 2,Normal (Acad),F,0
1980,Secondary 2,Normal (Tech),MF,0
1980,Secondary 2,Normal (Tech),F,0
1980,Secondary 2,Special,MF,1737
1980,Secondary 2,Special,F,978
1980,Secondary 3,Express,MF,34803
1980,Secondary 3,Express,F,17860
1980,Secondary 3,Normal (Acad),MF,0
1980,Secondary 3,Normal (Acad),F,0
1980,Secondary 3,Normal (Tech),MF,0
1980,Secondary 3,Normal (Tech),F,0
1980,Secondary 3,Special,MF,0
1980,Secondary 3,Special,F,0
1980,Secondary 4,Express,MF,32925
1980,Secondary 4,Express,F,16856
1980,Secondary 4,Normal (Acad),MF,0
1980,Secondary 4,Normal (Acad),F,0
1980,Secondary 4,Normal (Tech),MF,0
1980,Secondary 4,Normal (Tech),F,0
1980,Secondary 4,Special,MF,0
1980,Secondary 4,Special,F,0
1980,Secondary 5,Normal (Acad),MF,0
1980,Secondary 5,Normal (Acad),F,0
1981,Secondary 1,Express,MF,29691
1981,Secondary 1,Express,F,15280
1981,Secondary 1,Normal (Acad),MF,16278
1981,Secondary 1,Normal (Acad),F,7245
1981,Secondary 1,Normal (Tech),MF,0
1981,Secondary 1,Normal (Tech),F,0
1981,Secondary 1,Special,MF,1616
1981,Secondary 1,Special,F,854
1981,Secondary 2,Express,MF,38149
1981,Secondary 2,Express,F,19255
1981,Secondary 2,Normal (Acad),MF,0
1981,Secondary 2,Normal (Acad),F,0
1981,Secondary 2,Normal (Tech),MF,0
1981,Secondary 2,Normal (Tech),F,0
1981,Secondary 2,Special,MF,1561
1981,Secondary 2,Special,F,825
1981,Secondary 3,Express,MF,34523
1981,Secondary 3,Express,F,17663
1981,Secondary 3,Normal (Acad),MF,0
1981,Secondary 3,Normal (Acad),F,0
1981,Secondary 3,Normal (Tech),MF,0
1981,Secondary 3,Normal (Tech),F,0
1981,Secondary 3,Special,MF,1558
1981,Secondary 3,Special,F,832
1981,Secondary 4,Express,MF,33931
1981,Secondary 4,Express,F,17144
1981,Secondary 4,Normal (Acad),MF,0
1981,Secondary 4,Normal (Acad),F,0
1981,Secondary 4,Normal (Tech),MF,0
1981,Secondary 4,Normal (Tech),F,0
1981,Secondary 4,Special,MF,0
1981,Secondary 4,Special,F,0
1981,Secondary 5,Normal (Acad),MF,0
